Question_ID,Question_Category_Korean,Question_Category_English,Prompt_Korean
A001,사실적 회상 및 일반 지식,Factual Recall & General Knowledge,"조선시대 붕당정치의 전개 과정에서 예송논쟁이 발생한 핵심 원인과, 각 당파(서인과 남인)의 주요 논거를 비교 설명하고, 이 논쟁이 당시 정치 지형에 미친 장기적인 영향은 무엇이었는지 상세히 기술하시오."
A002,사실적 회상 및 일반 지식,Factual Recall & General Knowledge,"양자역학의 코펜하겐 해석과 다세계 해석의 주요 차이점을 설명하고, 각 해석이 현실의 본질에 대해 제시하는 철학적 함의는 무엇인지 논하시오. 또한, 현재까지 어떤 실험적 증거가 특정 해석을 더 강력하게 지지하는지 알려진 바가 있다면 함께 제시하시오."
A003,사실적 회상 및 일반 지식,Factual Recall & General Knowledge,"20세기 후반 라틴 아메리카에서 발생했던 주요 군부 독재 정권들의 경제 정책(예: 칠레의 피노체트 정권, 아르헨티나의 군사 정권)을 비교 분석하고, 이들 정책이 각국 경제의 장단기적 발전에 미친 영향을 구체적인 지표를 들어 설명하시오."
A004,사실적 회상 및 일반 지식,Factual Recall & General Knowledge,"1929년 대공황의 주요 원인들을 다각도로 분석하고, 허버트 후버 행정부의 초기 대응과 프랭클린 D. 루스벨트 행정부의 뉴딜 정책이 경제 회복에 미친 영향을 구체적인 정책 사례와 경제 지표를 통해 비교 평가하시오."
A005,사실적 회상 및 일반 지식,Factual Recall & General Knowledge,"실크로드의 역사적 중요성을 경제적, 문화적, 정치적 측면에서 설명하고, 주요 교역품, 경로, 그리고 실크로드를 통해 교류된 대표적인 종교 및 기술에 대해 상세히 논하시오."
A006,사실적 회상 및 일반 지식,Factual Recall & General Knowledge,"르네상스 시대 이탈리아 도시 국가들(피렌체, 베네치아, 밀라노 등)의 정치 체제와 경제 구조를 비교하고, 메디치 가문과 같은 주요 가문들이 예술과 문화 발전에 기여한 방식을 구체적인 예술가와 작품을 예로 들어 설명하시오."
A007,사실적 회상 및 일반 지식,Factual Recall & General Knowledge,"냉전 시대의 주요 대리전(Proxy War) 사례 3가지(예: 한국전쟁, 베트남 전쟁, 아프가니스탄 전쟁)를 선정하여, 각 전쟁의 발발 원인, 주요 교전국 및 지원 세력, 그리고 국제 정세에 미친 영향을 분석하시오."
A008,사실적 회상 및 일반 지식,Factual Recall & General Knowledge,"고대 그리스 철학에서 플라톤의 이데아론과 아리스토텔레스의 형상론(hylomorphism)의 핵심 개념을 비교 설명하고, 두 철학이 후대 서양 철학 및 과학 발전에 미친 영향의 차이점을 논하시오."
A009,사실적 회상 및 일반 지식,Factual Recall & General Knowledge,"산업혁명 시기 영국의 주요 기술 혁신(예: 증기기관, 방적기, 제철 기술)들이 사회 구조(계급, 도시화, 노동 조건)와 경제 시스템(자본주의 발전)에 가져온 근본적인 변화를 상세히 설명하시오."
A010,사실적 회상 및 일반 지식,Factual Recall & General Knowledge,"마야 문명의 천문학 및 수학 지식 수준을 구체적인 유물(예: 달력 체계, 건축물)을 통해 설명하고, 마야 문명이 갑작스럽게 쇠퇴한 주요 가설들을 제시하며 각 가설의 근거와 한계점을 논하시오."
B001,추론 능력,Reasoning,"세 명의 용의자 A, B, C가 있다. A는 ""B가 범인이다. 나는 결백하다.""라고 주장한다. B는 ""C가 범인이다. A는 거짓말을 하고 있다.""라고 주장한다. C는 ""나는 결백하다. B도 결백하다.""라고 주장한다. 만약 세 명 중 단 한 명만이 진실을 말하고 있다면, 범인은 누구이며 그 이유는 무엇인가? 각 용의자의 진술이 참일 경우와 거짓일 경우를 모두 가정하여 논리적으로 추론하시오."
B002,추론 능력,Reasoning,"최근 한 연구에 따르면, 특정 지역에서 아이스크림 판매량과 상어 공격 발생 건수 사이에 강한 양의 상관관계가 나타났다. 이 상관관계만으로 ""아이스크림 섭취가 상어 공격을 유발한다""고 결론 내릴 수 있는가? 만약 그렇지 않다면, 이러한 상관관계가 나타날 수 있는 잠재적인 제3의 변수(confounding variable)는 무엇이며, 인과관계를 밝히기 위해서는 어떤 추가적인 정보나 연구 설계가 필요하겠는가?"
B003,추론 능력,Reasoning,"고대 유적지에서 세 개의 비문이 발견되었다. 비문 X는 ""비문 Y의 내용은 거짓이다""라고 적혀있다. 비문 Y는 ""비문 Z의 내용은 참이다""라고 적혀있다. 비문 Z는 ""비문 X와 비문 Y 중 적어도 하나의 내용은 거짓이다""라고 적혀있다. 각 비문의 내용이 참인지 거짓인지 논리적으로 판단하고, 그 근거를 설명하시오."
B004,추론 능력,Reasoning,"한 섬에는 항상 참말만 하는 기사들과 항상 거짓말만 하는 악당들이 산다. 당신은 갈림길에서 두 명의 주민 P와 Q를 만났다. P는 ""우리 둘 다 악당이다""라고 말했고, Q는 아무 말도 하지 않았다. P와 Q는 각각 기사인가, 악당인가? 논리적으로 추론하여 답하고 그 과정을 설명하시오."
B005,추론 능력,Reasoning,"A, B, C, D 네 명의 학생이 시험을 봤다. 시험 결과에 대해 다음과 같은 정보가 주어졌다. (1) 만약 A가 1등이라면, B는 2등이다. (2) 만약 B가 2등이라면, C는 3등이다. (3) 만약 D가 4등이 아니라면, C는 4등이다. (4) A, B, C, D는 모두 다른 등수이다. 이 정보를 바탕으로 각 학생의 등수를 논리적으로 추론하시오."
B006,추론 능력,Reasoning,"어떤 마을에서는 특정 질병 X의 유병률이 1%이다. 이 질병을 진단하는 검사의 정확도는 99%이다 (즉, 질병이 있는 사람을 양성으로 판정할 확률과 질병이 없는 사람을 음성으로 판정할 확률이 모두 99%이다). 만약 어떤 사람이 이 검사에서 양성 판정을 받았다면, 이 사람이 실제로 질병 X를 가지고 있을 확률은 얼마인가? 베이즈 정리를 이용하여 계산하고 그 과정을 설명하시오."
B007,추론 능력,Reasoning,"""모든 까마귀는 검다""라는 가설을 검증하기 위해 관찰을 한다고 가정하자. (1) 검은 까마귀를 관찰하는 것, (2) 검지 않은 물체(예: 하얀 신발)를 관찰하는 것 중 어떤 것이 이 가설을 논리적으로 더 강하게 지지하는가? 헴펠의 역설(까마귀 역설)의 관점에서 설명하고, 귀납 논리의 문제점을 논하시오."
B008,추론 능력,Reasoning,"당신은 세 개의 상자 A, B, C와 각 상자 안에 두 개의 공이 들어있는 상황에 직면했다. 상자 A에는 금색 공 2개, 상자 B에는 은색 공 2개, 상자 C에는 금색 공 1개와 은색 공 1개가 들어있다. 당신은 무작위로 상자 하나를 선택하고, 그 상자에서 공 하나를 꺼냈더니 금색 공이었다. 이때, 그 상자 안에 남아있는 다른 공도 금색 공일 확률은 얼마인가? 조건부 확률을 이용하여 풀이 과정을 상세히 설명하시오."
B009,추론 능력,Reasoning,"한 연구에서 새로운 교육 프로그램의 효과를 측정하기 위해 실험집단과 통제집단을 설정했다. 프로그램 종료 후, 실험집단의 평균 점수가 통제집단보다 통계적으로 유의미하게 높게 나타났다. 그러나 프로그램 참여 여부는 학생들의 자발적 선택에 맡겨졌고, 프로그램에 참여한 학생들은 원래 학업 성취도가 높은 경향이 있었다. 이 연구 결과의 내적 타당성(internal validity)과 외적 타당성(external validity)에 대해 논하고, 연구 설계의 잠재적 문제점(예: 선택 편향)을 지적하며 개선 방안을 제시하시오."
B010,추론 능력,Reasoning,"""만약 비가 오면, 땅이 젖는다. 땅이 젖었다. 따라서 비가 왔다."" 이 논증은 타당한가? 만약 타당하지 않다면, 어떤 논리적 오류를 범하고 있는지 설명하고, 타당한 논증 형식과 비교하여 설명하시오. (후건 긍정의 오류)"
C001,텍스트 요약,Text Summarization,"다음은 칸트의 '순수이성비판' 서문의 일부입니다. 이 글에서 칸트가 제기하는 핵심 문제의식과 그가 제시하는 철학적 과제를 200자 이내로 요약하고, 현대 철학에 미친 영향을 간략히 언급하시오. (참고: 실제 평가 시 칸트 '순수이성비판' 서문 일부 텍스트 제공 필요)"
